"","Name","Platform","Year_of_Release","Genre","Publisher","EU_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating","Name_imp","Platform_imp","Year_of_Release_imp","Genre_imp","Publisher_imp","EU_Sales_imp","Global_Sales_imp","Critic_Score_imp","Critic_Count_imp","User_Score_imp","User_Count_imp","Rating_imp"
"13169","The Idolm@ster: Dearly Stars","DS",2009,"Adventure","Namco Bandai Games",0,0.05,49,10,6.55,10,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13170","Sam & Max: Beyond Time and Space","Wii",2010,"Adventure","Atari",0,0.05,62,13,5.65,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13171","Over the Hedge: Hammy Goes Nuts!","PSP",2006,"Platform","Activision",0,0.05,58,7,6,5,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13172","Miitopia","3DS",2016,"Strategy","Nintendo",0,0.05,68,6,6.8,23,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13173","Bakemonogatari Portable","PSP",2012,"Action","Namco Bandai Games",0,0.05,64,6,6.6,14,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13174","Resident Evil Directors Cut","PS3",2006,"Action","Capcom",0,0.05,64,10,7.4,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13175","Jenga World Tour","Wii",2007,"Misc","Atari",0,0.05,26,14,2.8,11,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13176","Super Heroine Chronicle","PSV",2014,"Role-Playing","Namco Bandai Games",0,0.05,66,6,7.2,28,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13177","Tenchu: Dark Secret","DS",2006,"Action","From Software",0,0.05,37,10,5.1,7,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13178","Prism: Light the Way","DS",2007,"Puzzle","Eidos Interactive",0,0.05,73,21,7.25,10,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13179","Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku","DS",2006,"Misc","Nintendo",0,0.05,64,10,7.4,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13180","Shrek Super Party","GC",2003,"Misc","TDK Mediactive",0.01,0.05,40,6,7.3,7,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13181","Bakusou Kyoudai Lets & Go!! Eternal Wings","PS",1998,"Racing","Jaleco",0,0.05,66,9,6.7,7,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13182","Top Spin 2","DS",2006,"Sports","Take-Two Interactive",0,0.05,51,8,7.25,9,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13183","Monster 4x4: Masters of Metal","GC",2003,"Racing","Ubisoft",0.01,0.05,49,11,6.95,10,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13184","Imagine: Artist","DS",2009,"Misc","Ubisoft",0,0.05,49,10,6.55,10,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13185","Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2","DS",2007,"Action","Namco Bandai Games",0,0.05,61,6,5.95,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13186","NHL Blades of Steel 99","N64",1999,"Sports","Konami Digital Entertainment",0,0.05,66,8,7.15,7,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13187","Second Sight","GC",2004,"Adventure","Codemasters",0.01,0.05,77,34,8.5,13,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13188","Philosoma","PS",1995,"Shooter","Sony Computer Entertainment",0.02,0.05,59,12,5.7,7,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13189","Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield","SAT",1995,"Misc","Sega",0,0.05,66,9,6.7,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13190","Puyo Pop","GBA",2001,"Puzzle","Sega",0.01,0.05,84,14,8.3,4,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13191","Marriage Royale: Prism Story","PSP",2010,"Adventure","ASCII Media Works",0,0.05,62,13,5.65,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
